cigar_name,source_group,retailer,url,domain,status,field,previous_value,current_value,note
Arturo Fuente Don Carlos No. 2,ukPrices,cgars,https://www.cgarsltd.co.uk/arturo-fuente-don-carlos-cigar-single-p-10526.html,www.cgarsltd.co.uk,error,price,£43.49,,HTTP 403
Arturo Fuente Don Carlos No. 2,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/arturo-fuente-don-carlos-no-2-cigar-single/,www.havanahouse.co.uk,unchanged,price,£38.99,£38.99,In Stock
Cohiba Robusto,ukPrices,cgars,https://www.cgarsltd.co.uk/cohiba-robustos-cigar-single-p-426.html?keywords=Cohiba+Robusto,www.cgarsltd.co.uk,error,price,£72.99,,HTTP 403
Cohiba Robusto,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/cohiba-robusto-cigar-single/,www.havanahouse.co.uk,unchanged,price,£80.00,£80.00,In Stock
Cohiba Robusto,ukPrices,simplycigars,https://www.simplycigars.co.uk/cohiba-robusto-single-cigar-p-449.html,www.simplycigars.co.uk,unchanged,price,£76.90,£76.90,In Stock
Cohiba Robusto,euPrices,egm,https://egmcigars.com/en-gb/products/cohiba-robusto-slb?variant=9061373673519,egmcigars.com,changed,price,£61.99,£64.05,Out of Stock
Cohiba Esplendidos,ukPrices,cgars,https://www.cgarsltd.co.uk/cohiba-esplendidos-cigar-single-p-422.html?keywords=Cohiba+Esplendidos,www.cgarsltd.co.uk,error,price,£144.00,,HTTP 403
Cohiba Esplendidos,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/cohiba-esplendidos-cigar-single/,www.havanahouse.co.uk,unchanged,price,£137.00,£137.00,Out of Stock
Cohiba Esplendidos,ukPrices,simplycigars,https://www.simplycigars.co.uk/cohiba-esplendidos-cigar-single-cigar-p-446.html,www.simplycigars.co.uk,unchanged,price,£125.02,£125.02,Out of Stock
Cohiba Esplendidos,euPrices,egm,https://egmcigars.com/en-gb/products/cohiba-esplendidos-bn-1?variant=9074557124655,egmcigars.com,changed,price,£100.99,£104.99,Out of Stock
Drew Estate Liga Privada Unico Dirty Rat,ukPrices,cgars,https://www.cgarsltd.co.uk/drew-estate-liga-privada-unico-dirty-rat-cigar-single-p-26106.html?keywords=Drew+Estate+Liga+Privada+Unico+Dirty+Rat,www.cgarsltd.co.uk,error,price,£27.49,,HTTP 403
Davidoff Signature 6000,ukPrices,cgars,https://www.cgarsltd.co.uk/davidoff-signature-6000-robusto-cigar-single-p-11932.html?keywords=Davidoff+Signature+6000,www.cgarsltd.co.uk,error,price,£38.99,,HTTP 403
Davidoff Signature 6000,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/davidoff-signature-6000-robusto-cigar-single/,www.havanahouse.co.uk,unchanged,price,£34.96,£34.96,In Stock
Plasencia Alma del Fuego Candente,ukPrices,cgars,https://www.cgarsltd.co.uk/plasencia-alma-del-fuego-candente-cigar-single-p-37700.html,www.cgarsltd.co.uk,error,price,£23.49,,HTTP 403
Plasencia Alma del Fuego Candente,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/plasencia-alma-del-fuego-candente-cigar-single/,www.havanahouse.co.uk,unchanged,price,£21.46,£21.46,In Stock
Plasencia Alma del Fuego Candente,ukPrices,simplycigars,https://www.simplycigars.co.uk/plasencia-alma-del-fuego-candente-single-cigar-p-3944.html,www.simplycigars.co.uk,unchanged,price,£24.13,£24.13,In Stock
Plasencia Alma del Cielo Amanecer Hexagono,ukPrices,cgars,https://www.cgarsltd.co.uk/plasencia-alma-del-cielo-amanecer-hexagono-cigar-single-p-63123.html,www.cgarsltd.co.uk,error,price,£33.99,,HTTP 403
